item_price_id,item_id,price,name,description,creator,date_created,changed_by,date_changed,retired,retired_by,uuid,has_expiration
759,1347.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763c979-5bc4-11e2-a081-b4b52f5b1c99
760,60.0,,,3,2014-12-11 12:19:04,1970-01-01 00:00:00.000000003,2014-12-11 12:19:04,1970-01-01,,,,4763cbd2-5bc4-11e2-a081-b4b52f5b1c99
761,1796.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763ce31-5bc4-11e2-a081-b4b52f5b1c99
762,1009.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763d075-5bc4-11e2-a081-b4b52f5b1c99
763,12.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763d2be-5bc4-11e2-a081-b4b52f5b1c99
764,25.0,,,16,2014-12-13 10:18:00,1970-01-01 00:00:00.000000016,2014-12-13 10:18:00,1970-01-01,,,,4763d51c-5bc4-11e2-a081-b4b52f5b1c99
765,15.0,,,3,2014-12-11 12:17:58,1970-01-01 00:00:00.000000003,2014-12-11 12:17:58,1970-01-01,,,,4763d764-5bc4-11e2-a081-b4b52f5b1c99
766,7315.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763e087-5bc4-11e2-a081-b4b52f5b1c99
767,192.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763e2dd-5bc4-11e2-a081-b4b52f5b1c99
768,120.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763e810-5bc4-11e2-a081-b4b52f5b1c99
769,9.0,,,3,2014-12-11 11:49:35,1970-01-01 00:00:00.000000003,2014-12-11 11:49:35,1970-01-01,,,,4763ea5d-5bc4-11e2-a081-b4b52f5b1c99
770,1390.0,,,3,2014-12-11 11:26:03,1970-01-01 00:00:00.000000003,2014-12-11 11:26:03,1970-01-01,,,,4763ecae-5bc4-11e2-a081-b4b52f5b1c99
771,170.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763eef7-5bc4-11e2-a081-b4b52f5b1c99
772,170.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763f15e-5bc4-11e2-a081-b4b52f5b1c99
773,13234.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763f3a2-5bc4-11e2-a081-b4b52f5b1c99
774,13234.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763f5e6-5bc4-11e2-a081-b4b52f5b1c99
775,6916.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763f827-5bc4-11e2-a081-b4b52f5b1c99
776,2.0,,,3,2014-12-11 12:41:16,1970-01-01 00:00:00.000000003,2014-12-11 12:41:16,1970-01-01,,,,4763fa8d-5bc4-11e2-a081-b4b52f5b1c99
777,60.0,,,11,2015-08-05 14:29:15,1970-01-01 00:00:00.000000011,2015-08-05 14:29:15,1970-01-01,,,,4763fcd6-5bc4-11e2-a081-b4b52f5b1c99
778,446.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4763ff1a-5bc4-11e2-a081-b4b52f5b1c99
779,178.0,,,3,2014-12-11 12:47:33,1970-01-01 00:00:00.000000003,2014-12-11 12:47:33,1970-01-01,,,,4764015a-5bc4-11e2-a081-b4b52f5b1c99
781,28.37,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47640601-5bc4-11e2-a081-b4b52f5b1c99
782,28.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764084e-5bc4-11e2-a081-b4b52f5b1c99
783,75.0,,,3,2014-12-11 11:28:05,1970-01-01 00:00:00.000000003,2014-12-11 11:28:05,1970-01-01,,,,47640d13-5bc4-11e2-a081-b4b52f5b1c99
784,5.0,,,3,2014-12-11 12:14:29,1970-01-01 00:00:00.000000003,2014-12-11 12:14:29,1970-01-01,,,,47640fb5-5bc4-11e2-a081-b4b52f5b1c99
785,7.0,,,3,2014-12-11 11:21:14,1970-01-01 00:00:00.000000003,2014-12-11 11:21:14,1970-01-01,,,,47641202-5bc4-11e2-a081-b4b52f5b1c99
786,958.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764144b-5bc4-11e2-a081-b4b52f5b1c99
787,390.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764168f-5bc4-11e2-a081-b4b52f5b1c99
788,399.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476418fa-5bc4-11e2-a081-b4b52f5b1c99
789,441.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47641b43-5bc4-11e2-a081-b4b52f5b1c99
790,441.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47642608-5bc4-11e2-a081-b4b52f5b1c99
791,20.0,,,3,2014-12-11 11:48:23,1970-01-01 00:00:00.000000003,2014-12-11 11:48:23,1970-01-01,,,,4764285d-5bc4-11e2-a081-b4b52f5b1c99
792,50.0,,,3,2014-12-11 11:48:32,1970-01-01 00:00:00.000000003,2014-12-11 11:48:32,1970-01-01,,,,47642abb-5bc4-11e2-a081-b4b52f5b1c99
793,512.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47642d00-5bc4-11e2-a081-b4b52f5b1c99
794,190.0,,,3,2014-12-11 11:16:31,1970-01-01 00:00:00.000000003,2014-12-11 11:16:31,1970-01-01,,,,47642f40-5bc4-11e2-a081-b4b52f5b1c99
796,5852.0,,,3,2014-12-11 11:12:04,1970-01-01 00:00:00.000000003,2014-12-11 11:12:04,1970-01-01,,,,4764365e-5bc4-11e2-a081-b4b52f5b1c99
798,134.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47643ae3-5bc4-11e2-a081-b4b52f5b1c99
799,1069.0,,,3,2014-12-11 11:24:13,1970-01-01 00:00:00.000000003,2014-12-11 11:24:13,1970-01-01,,,,47643d2b-5bc4-11e2-a081-b4b52f5b1c99
800,2421.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47643f92-5bc4-11e2-a081-b4b52f5b1c99
801,426.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476441db-5bc4-11e2-a081-b4b52f5b1c99
802,239.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764441b-5bc4-11e2-a081-b4b52f5b1c99
803,1.3,,,3,2014-12-11 12:14:58,1970-01-01 00:00:00.000000003,2014-12-11 12:14:58,1970-01-01,,,,4764465f-5bc4-11e2-a081-b4b52f5b1c99
804,4.79,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476448ca-5bc4-11e2-a081-b4b52f5b1c99
805,3.0,,,11,2015-02-25 12:33:15,1970-01-01 00:00:00.000000011,2015-02-25 12:33:15,1970-01-01,,,,47644b0f-5bc4-11e2-a081-b4b52f5b1c99
806,10.0,,,3,2014-12-11 11:30:27,1970-01-01 00:00:00.000000003,2014-12-11 11:30:27,1970-01-01,,,,47644d57-5bc4-11e2-a081-b4b52f5b1c99
807,203.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47644f97-5bc4-11e2-a081-b4b52f5b1c99
808,104.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,476451fe-5bc4-11e2-a081-b4b52f5b1c99
809,73.0,,,16,2014-12-13 09:57:11,1970-01-01 00:00:00.000000016,2014-12-13 09:57:11,1970-01-01,,,,47645442-5bc4-11e2-a081-b4b52f5b1c99
810,186.0,OPD,,3,2014-12-11 11:18:51,1970-01-01 00:00:00.000000003,2014-12-11 11:18:51,1970-01-01,,,,47645687-5bc4-11e2-a081-b4b52f5b1c99
812,18.0,,,3,2014-12-11 11:22:16,1970-01-01 00:00:00.000000003,2014-12-11 11:22:16,1970-01-01,,,,47645d90-5bc4-11e2-a081-b4b52f5b1c99
813,26.0,,,3,2014-12-11 11:12:54,1970-01-01 00:00:00.000000003,2014-12-11 11:12:54,1970-01-01,,,,47645fd8-5bc4-11e2-a081-b4b52f5b1c99
814,13.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764621d-5bc4-11e2-a081-b4b52f5b1c99
815,21.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764645d-5bc4-11e2-a081-b4b52f5b1c99
816,75.0,,,11,2015-03-03 15:18:41,1970-01-01 00:00:00.000000011,2015-03-03 15:18:41,1970-01-01,,,,476470cd-5bc4-11e2-a081-b4b52f5b1c99
817,180.0,,,11,2015-02-27 13:30:39,1970-01-01 00:00:00.000000011,2015-02-27 13:30:39,1970-01-01,,,,47647df0-5bc4-11e2-a081-b4b52f5b1c99
818,9.0,,,3,2014-12-11 11:45:29,1970-01-01 00:00:00.000000003,2014-12-11 11:45:29,1970-01-01,,,,476482b5-5bc4-11e2-a081-b4b52f5b1c99
819,1330.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47648501-5bc4-11e2-a081-b4b52f5b1c99
820,904.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764871f-5bc4-11e2-a081-b4b52f5b1c99
821,500.0,,,3,2014-12-11 11:30:51,1970-01-01 00:00:00.000000003,2014-12-11 11:30:51,1970-01-01,,,,4764891b-5bc4-11e2-a081-b4b52f5b1c99
822,332.0,,,3,2014-12-11 11:41:06,1970-01-01 00:00:00.000000003,2014-12-11 11:41:06,1970-01-01,,,,47648b13-5bc4-11e2-a081-b4b52f5b1c99
824,50.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47648f20-5bc4-11e2-a081-b4b52f5b1c99
825,64.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764911c-5bc4-11e2-a081-b4b52f5b1c99
826,50.0,,,3,2014-12-11 12:25:58,1970-01-01 00:00:00.000000003,2014-12-11 12:25:58,1970-01-01,,,,47649318-5bc4-11e2-a081-b4b52f5b1c99
827,100.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764950b-5bc4-11e2-a081-b4b52f5b1c99
828,23.2,,,16,2014-12-13 11:01:55,1970-01-01 00:00:00.000000016,2014-12-13 11:01:55,1970-01-01,,,,4764971c-5bc4-11e2-a081-b4b52f5b1c99
829,2.0,,,16,2014-12-13 10:10:52,1970-01-01 00:00:00.000000016,2014-12-13 10:10:52,1970-01-01,,,,4764991c-5bc4-11e2-a081-b4b52f5b1c99
830,3724.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47649b14-5bc4-11e2-a081-b4b52f5b1c99
831,47.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,47649d10-5bc4-11e2-a081-b4b52f5b1c99
832,17.0,,,3,2014-12-11 12:37:00,1970-01-01 00:00:00.000000003,2014-12-11 12:37:00,1970-01-01,,,,47649f21-5bc4-11e2-a081-b4b52f5b1c99
833,9.0,,,3,2014-12-15 12:43:56,1970-01-01 00:00:00.000000003,2014-12-15 12:43:56,1970-01-01,,,,4764a119-5bc4-11e2-a081-b4b52f5b1c99
834,34482.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764a30c-5bc4-11e2-a081-b4b52f5b1c99
835,30.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764a4ff-5bc4-11e2-a081-b4b52f5b1c99
836,6.65,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764a959-5bc4-11e2-a081-b4b52f5b1c99
837,4.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764ab66-5bc4-11e2-a081-b4b52f5b1c99
838,4.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764ad62-5bc4-11e2-a081-b4b52f5b1c99
839,4.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764af5e-5bc4-11e2-a081-b4b52f5b1c99
840,335.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764b173-5bc4-11e2-a081-b4b52f5b1c99
841,466.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764b374-5bc4-11e2-a081-b4b52f5b1c99
842,399.0,,,1,2013-01-11 10:55:37,,,1970-01-01,,,,4764b56b-5bc4-11e2-a081-b4b52f5b1c99
